"Regra","Antecedente","Consequente","support","confidence","coverage","lift","count"
"{PAPER CHAIN KIT VINTAGE CHRISTMAS,PLEASE ONE PERSON METAL SIGN} => {PAPER CHAIN KIT 50'S CHRISTMAS}","{PAPER CHAIN KIT VINTAGE CHRISTMAS,PLEASE ONE PERSON METAL SIGN}","{PAPER CHAIN KIT 50'S CHRISTMAS}",0.005,0.7143,0.007,8.5034,20
"{HANGING HEART JAR T-LIGHT HOLDER,STRAWBERRY CERAMIC TRINKET BOX} => {WOODLAND CHARLOTTE BAG}","{HANGING HEART JAR T-LIGHT HOLDER,STRAWBERRY CERAMIC TRINKET BOX}","{WOODLAND CHARLOTTE BAG}",0.0075,0.625,0.012,8.5034,30
"{JUMBO BAG RED RETROSPOT,JUMBO BAG WOODLAND ANIMALS,LUNCH BAG SUKI DESIGN} => {WOODLAND CHARLOTTE BAG}","{JUMBO BAG RED RETROSPOT,JUMBO BAG WOODLAND ANIMALS,LUNCH BAG SUKI DESIGN}","{WOODLAND CHARLOTTE BAG}",0.0063,0.625,0.01,8.5034,25
"{CHARLOTTE BAG SUKI DESIGN,JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT} => {WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN,JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT}","{WOODLAND CHARLOTTE BAG}",0.0063,0.625,0.01,8.5034,25
"{HOT WATER BOTTLE TEA AND SYMPATHY,PACK OF 72 SKULL CAKE CASES} => {WOODLAND CHARLOTTE BAG}","{HOT WATER BOTTLE TEA AND SYMPATHY,PACK OF 72 SKULL CAKE CASES}","{WOODLAND CHARLOTTE BAG}",0.005,0.625,0.008,8.5034,20
"{HANGING HEART ZINC T-LIGHT HOLDER,PAPER CHAIN KIT 50'S CHRISTMAS} => {WOODLAND CHARLOTTE BAG}","{HANGING HEART ZINC T-LIGHT HOLDER,PAPER CHAIN KIT 50'S CHRISTMAS}","{WOODLAND CHARLOTTE BAG}",0.005,0.625,0.008,8.5034,20
"{LUNCH BAG WOODLAND,PAPER CHAIN KIT 50'S CHRISTMAS} => {WOODLAND CHARLOTTE BAG}","{LUNCH BAG WOODLAND,PAPER CHAIN KIT 50'S CHRISTMAS}","{WOODLAND CHARLOTTE BAG}",0.005,0.625,0.008,8.5034,20
"{HOME BUILDING BLOCK WORD,STRAWBERRY CERAMIC TRINKET BOX,WHITE HANGING HEART T-LIGHT HOLDER} => {WOODLAND CHARLOTTE BAG}","{HOME BUILDING BLOCK WORD,STRAWBERRY CERAMIC TRINKET BOX,WHITE HANGING HEART T-LIGHT HOLDER}","{WOODLAND CHARLOTTE BAG}",0.005,0.625,0.008,8.5034,20
"{60 TEATIME FAIRY CAKE CASES,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND} => {WOODLAND CHARLOTTE BAG}","{60 TEATIME FAIRY CAKE CASES,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND}","{WOODLAND CHARLOTTE BAG}",0.005,0.625,0.008,8.5034,20
"{6 RIBBONS RUSTIC CHARM,PACK OF 72 RETROSPOT CAKE CASES} => {CHARLOTTE BAG SUKI DESIGN}","{6 RIBBONS RUSTIC CHARM,PACK OF 72 RETROSPOT CAKE CASES}","{CHARLOTTE BAG SUKI DESIGN}",0.007,0.5185,0.0135,8.5003,28
"{72 SWEETHEART FAIRY CAKE CASES,LUNCH BAG BLACK SKULL.,LUNCH BAG CARS BLUE} => {LUNCH BAG WOODLAND}","{72 SWEETHEART FAIRY CAKE CASES,LUNCH BAG BLACK SKULL.,LUNCH BAG CARS BLUE}","{LUNCH BAG WOODLAND}",0.005,0.7407,0.0068,8.4899,20
"{JUMBO BAG BAROQUE BLACK WHITE,RECYCLING BAG RETROSPOT} => {JUMBO BAG WOODLAND ANIMALS}","{JUMBO BAG BAROQUE BLACK WHITE,RECYCLING BAG RETROSPOT}","{JUMBO BAG WOODLAND ANIMALS}",0.0082,0.541,0.0152,8.486,33
"{LUNCH BAG BLACK SKULL.,LUNCH BAG CARS BLUE,PACK OF 72 SKULL CAKE CASES} => {PACK OF 72 RETROSPOT CAKE CASES}","{LUNCH BAG BLACK SKULL.,LUNCH BAG CARS BLUE,PACK OF 72 SKULL CAKE CASES}","{PACK OF 72 RETROSPOT CAKE CASES}",0.0068,0.6279,0.0107,8.4852,27
"{LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN,PACK OF 72 RETROSPOT CAKE CASES} => {PACK OF 72 SKULL CAKE CASES}","{LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN,PACK OF 72 RETROSPOT CAKE CASES}","{PACK OF 72 SKULL CAKE CASES}",0.0055,0.5366,0.0102,8.4836,22
"{JUMBO BAG RED RETROSPOT,RED TOADSTOOL LED NIGHT LIGHT,VINTAGE SNAP CARDS} => {NATURAL SLATE HEART CHALKBOARD}","{JUMBO BAG RED RETROSPOT,RED TOADSTOOL LED NIGHT LIGHT,VINTAGE SNAP CARDS}","{NATURAL SLATE HEART CHALKBOARD}",0.0053,0.8077,0.0065,8.4797,21
"{BATHROOM METAL SIGN,ROSES REGENCY TEACUP AND SAUCER} => {JUMBO BAG WOODLAND ANIMALS}","{BATHROOM METAL SIGN,ROSES REGENCY TEACUP AND SAUCER}","{JUMBO BAG WOODLAND ANIMALS}",0.005,0.5405,0.0092,8.4791,20
"{ROSES REGENCY TEACUP AND SAUCER,WOODLAND CHARLOTTE BAG} => {JUMBO BAG WOODLAND ANIMALS}","{ROSES REGENCY TEACUP AND SAUCER,WOODLAND CHARLOTTE BAG}","{JUMBO BAG WOODLAND ANIMALS}",0.005,0.5405,0.0092,8.4791,20
"{STRAWBERRY CERAMIC TRINKET BOX,WHITE HANGING HEART T-LIGHT HOLDER,WOODLAND CHARLOTTE BAG} => {BATHROOM METAL SIGN}","{STRAWBERRY CERAMIC TRINKET BOX,WHITE HANGING HEART T-LIGHT HOLDER,WOODLAND CHARLOTTE BAG}","{BATHROOM METAL SIGN}",0.005,0.5405,0.0092,8.4791,20
"{JUMBO BAG STRAWBERRY,JUMBO STORAGE BAG SUKI,RECYCLING BAG RETROSPOT} => {JUMBO BAG WOODLAND ANIMALS}","{JUMBO BAG STRAWBERRY,JUMBO STORAGE BAG SUKI,RECYCLING BAG RETROSPOT}","{JUMBO BAG WOODLAND ANIMALS}",0.005,0.5405,0.0092,8.4791,20
"{NATURAL SLATE HEART CHALKBOARD,RECYCLING BAG RETROSPOT} => {RED TOADSTOOL LED NIGHT LIGHT}","{NATURAL SLATE HEART CHALKBOARD,RECYCLING BAG RETROSPOT}","{RED TOADSTOOL LED NIGHT LIGHT}",0.0078,0.5849,0.0132,8.4769,31
"{6 RIBBONS RUSTIC CHARM,60 TEATIME FAIRY CAKE CASES} => {WOODLAND CHARLOTTE BAG}","{6 RIBBONS RUSTIC CHARM,60 TEATIME FAIRY CAKE CASES}","{WOODLAND CHARLOTTE BAG}",0.0095,0.623,0.0152,8.4755,38
"{JUMBO BAG RED RETROSPOT,ROSES REGENCY TEACUP AND SAUCER} => {RECYCLING BAG RETROSPOT}","{JUMBO BAG RED RETROSPOT,ROSES REGENCY TEACUP AND SAUCER}","{RECYCLING BAG RETROSPOT}",0.0085,0.5763,0.0148,8.4746,34
"{LUNCH BAG WOODLAND,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG WOODLAND,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.0118,0.5165,0.0227,8.4669,47
"{RED TOADSTOOL LED NIGHT LIGHT,SWEETHEART CERAMIC TRINKET BOX} => {VINTAGE SNAP CARDS}","{RED TOADSTOOL LED NIGHT LIGHT,SWEETHEART CERAMIC TRINKET BOX}","{VINTAGE SNAP CARDS}",0.0055,0.6286,0.0087,8.4656,22
"{RECYCLING BAG RETROSPOT,SWEETHEART CERAMIC TRINKET BOX} => {WOODLAND CHARLOTTE BAG}","{RECYCLING BAG RETROSPOT,SWEETHEART CERAMIC TRINKET BOX}","{WOODLAND CHARLOTTE BAG}",0.007,0.6222,0.0112,8.4656,28
"{LUNCH BAG BLACK SKULL.,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 SKULL CAKE CASES} => {72 SWEETHEART FAIRY CAKE CASES}","{LUNCH BAG BLACK SKULL.,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 SKULL CAKE CASES}","{72 SWEETHEART FAIRY CAKE CASES}",0.0058,0.6053,0.0095,8.4652,23
"{JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,LUNCH BAG RED RETROSPOT} => {JUMBO BAG PINK POLKADOT}","{JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,LUNCH BAG RED RETROSPOT}","{JUMBO BAG PINK POLKADOT}",0.0063,0.641,0.0098,8.4624,25
"{6 RIBBONS RUSTIC CHARM,SCOTTIE DOG HOT WATER BOTTLE} => {WOODLAND CHARLOTTE BAG}","{6 RIBBONS RUSTIC CHARM,SCOTTIE DOG HOT WATER BOTTLE}","{WOODLAND CHARLOTTE BAG}",0.0058,0.6216,0.0092,8.4574,23
"{6 RIBBONS RUSTIC CHARM,RECYCLING BAG RETROSPOT,WHITE HANGING HEART T-LIGHT HOLDER} => {WOODLAND CHARLOTTE BAG}","{6 RIBBONS RUSTIC CHARM,RECYCLING BAG RETROSPOT,WHITE HANGING HEART T-LIGHT HOLDER}","{WOODLAND CHARLOTTE BAG}",0.0058,0.6216,0.0092,8.4574,23
"{JUMBO BAG BAROQUE BLACK WHITE,JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG WOODLAND ANIMALS} => {JUMBO BAG STRAWBERRY}","{JUMBO BAG BAROQUE BLACK WHITE,JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG WOODLAND ANIMALS}","{JUMBO BAG STRAWBERRY}",0.006,0.7273,0.0082,8.4567,24
"{60 TEATIME FAIRY CAKE CASES,HAND OVER THE CHOCOLATE SIGN} => {72 SWEETHEART FAIRY CAKE CASES}","{60 TEATIME FAIRY CAKE CASES,HAND OVER THE CHOCOLATE SIGN}","{72 SWEETHEART FAIRY CAKE CASES}",0.0065,0.6047,0.0108,8.4567,26
"{JUMBO BAG PINK POLKADOT,ROSES REGENCY TEACUP AND SAUCER} => {RED TOADSTOOL LED NIGHT LIGHT}","{JUMBO BAG PINK POLKADOT,ROSES REGENCY TEACUP AND SAUCER}","{RED TOADSTOOL LED NIGHT LIGHT}",0.0053,0.5833,0.009,8.4541,21
"{PAPER CHAIN KIT 50'S CHRISTMAS,RECYCLING BAG RETROSPOT} => {RED TOADSTOOL LED NIGHT LIGHT}","{PAPER CHAIN KIT 50'S CHRISTMAS,RECYCLING BAG RETROSPOT}","{RED TOADSTOOL LED NIGHT LIGHT}",0.0053,0.5833,0.009,8.4541,21
"{6 RIBBONS RUSTIC CHARM,REGENCY CAKESTAND 3 TIER,WOODLAND CHARLOTTE BAG} => {RED TOADSTOOL LED NIGHT LIGHT}","{6 RIBBONS RUSTIC CHARM,REGENCY CAKESTAND 3 TIER,WOODLAND CHARLOTTE BAG}","{RED TOADSTOOL LED NIGHT LIGHT}",0.0053,0.5833,0.009,8.4541,21
"{JUMBO BAG RED RETROSPOT,JUMBO BAG WOODLAND ANIMALS,JUMBO STORAGE BAG SUKI} => {JUMBO BAG PINK POLKADOT}","{JUMBO BAG RED RETROSPOT,JUMBO BAG WOODLAND ANIMALS,JUMBO STORAGE BAG SUKI}","{JUMBO BAG PINK POLKADOT}",0.012,0.64,0.0187,8.4488,48
"{CHARLOTTE BAG SUKI DESIGN,NATURAL SLATE HEART CHALKBOARD} => {BATHROOM METAL SIGN}","{CHARLOTTE BAG SUKI DESIGN,NATURAL SLATE HEART CHALKBOARD}","{BATHROOM METAL SIGN}",0.007,0.5385,0.013,8.4465,28
"{CHARLOTTE BAG SUKI DESIGN,JUMBO STORAGE BAG SUKI,WOODLAND CHARLOTTE BAG} => {JUMBO BAG WOODLAND ANIMALS}","{CHARLOTTE BAG SUKI DESIGN,JUMBO STORAGE BAG SUKI,WOODLAND CHARLOTTE BAG}","{JUMBO BAG WOODLAND ANIMALS}",0.007,0.5385,0.013,8.4465,28
"{CHARLOTTE BAG SUKI DESIGN,JUMBO BAG PINK VINTAGE PAISLEY,WOODLAND CHARLOTTE BAG} => {JUMBO BAG WOODLAND ANIMALS}","{CHARLOTTE BAG SUKI DESIGN,JUMBO BAG PINK VINTAGE PAISLEY,WOODLAND CHARLOTTE BAG}","{JUMBO BAG WOODLAND ANIMALS}",0.0053,0.5385,0.0098,8.4465,21
"{JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO STORAGE BAG SUKI,LUNCH BAG WOODLAND} => {JUMBO BAG WOODLAND ANIMALS}","{JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO STORAGE BAG SUKI,LUNCH BAG WOODLAND}","{JUMBO BAG WOODLAND ANIMALS}",0.0053,0.5385,0.0098,8.4465,21
"{JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,LUNCH BAG WOODLAND} => {JUMBO BAG WOODLAND ANIMALS}","{JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,LUNCH BAG WOODLAND}","{JUMBO BAG WOODLAND ANIMALS}",0.0053,0.5385,0.0098,8.4465,21
"{CHOCOLATE HOT WATER BOTTLE,WOODLAND CHARLOTTE BAG} => {PACK OF 72 RETROSPOT CAKE CASES}","{CHOCOLATE HOT WATER BOTTLE,WOODLAND CHARLOTTE BAG}","{PACK OF 72 RETROSPOT CAKE CASES}",0.0075,0.625,0.012,8.4459,30
"{60 TEATIME FAIRY CAKE CASES,LUNCH BAG SUKI DESIGN,PACK OF 72 SKULL CAKE CASES} => {PACK OF 72 RETROSPOT CAKE CASES}","{60 TEATIME FAIRY CAKE CASES,LUNCH BAG SUKI DESIGN,PACK OF 72 SKULL CAKE CASES}","{PACK OF 72 RETROSPOT CAKE CASES}",0.0063,0.625,0.01,8.4459,25
"{LUNCH BAG BLACK SKULL.,REGENCY CAKESTAND 3 TIER,WOODLAND CHARLOTTE BAG} => {PACK OF 72 RETROSPOT CAKE CASES}","{LUNCH BAG BLACK SKULL.,REGENCY CAKESTAND 3 TIER,WOODLAND CHARLOTTE BAG}","{PACK OF 72 RETROSPOT CAKE CASES}",0.0063,0.625,0.01,8.4459,25
"{NATURAL SLATE HEART CHALKBOARD,PAPER CHAIN KIT VINTAGE CHRISTMAS} => {PACK OF 72 RETROSPOT CAKE CASES}","{NATURAL SLATE HEART CHALKBOARD,PAPER CHAIN KIT VINTAGE CHRISTMAS}","{PACK OF 72 RETROSPOT CAKE CASES}",0.005,0.625,0.008,8.4459,20
"{LUNCH BAG RED RETROSPOT,PAPER CHAIN KIT VINTAGE CHRISTMAS} => {PACK OF 72 RETROSPOT CAKE CASES}","{LUNCH BAG RED RETROSPOT,PAPER CHAIN KIT VINTAGE CHRISTMAS}","{PACK OF 72 RETROSPOT CAKE CASES}",0.005,0.625,0.008,8.4459,20
"{PAPER CHAIN KIT 50'S CHRISTMAS,ROSES REGENCY TEACUP AND SAUCER} => {PACK OF 72 RETROSPOT CAKE CASES}","{PAPER CHAIN KIT 50'S CHRISTMAS,ROSES REGENCY TEACUP AND SAUCER}","{PACK OF 72 RETROSPOT CAKE CASES}",0.005,0.625,0.008,8.4459,20
"{PACK OF 60 PINK PAISLEY CAKE CASES,ROSES REGENCY TEACUP AND SAUCER} => {PACK OF 72 RETROSPOT CAKE CASES}","{PACK OF 60 PINK PAISLEY CAKE CASES,ROSES REGENCY TEACUP AND SAUCER}","{PACK OF 72 RETROSPOT CAKE CASES}",0.005,0.625,0.008,8.4459,20
"{60 TEATIME FAIRY CAKE CASES,JUMBO BAG RED RETROSPOT,PACK OF 72 SKULL CAKE CASES} => {PACK OF 72 RETROSPOT CAKE CASES}","{60 TEATIME FAIRY CAKE CASES,JUMBO BAG RED RETROSPOT,PACK OF 72 SKULL CAKE CASES}","{PACK OF 72 RETROSPOT CAKE CASES}",0.005,0.625,0.008,8.4459,20
"{60 TEATIME FAIRY CAKE CASES,CHARLOTTE BAG SUKI DESIGN,LUNCH BAG SPACEBOY DESIGN} => {PACK OF 72 RETROSPOT CAKE CASES}","{60 TEATIME FAIRY CAKE CASES,CHARLOTTE BAG SUKI DESIGN,LUNCH BAG SPACEBOY DESIGN}","{PACK OF 72 RETROSPOT CAKE CASES}",0.005,0.625,0.008,8.4459,20
"{CHARLOTTE BAG SUKI DESIGN,LUNCH BAG SPACEBOY DESIGN,REGENCY CAKESTAND 3 TIER} => {PACK OF 72 RETROSPOT CAKE CASES}","{CHARLOTTE BAG SUKI DESIGN,LUNCH BAG SPACEBOY DESIGN,REGENCY CAKESTAND 3 TIER}","{PACK OF 72 RETROSPOT CAKE CASES}",0.005,0.625,0.008,8.4459,20
"{60 TEATIME FAIRY CAKE CASES,RECYCLING BAG RETROSPOT,REGENCY CAKESTAND 3 TIER} => {PACK OF 72 RETROSPOT CAKE CASES}","{60 TEATIME FAIRY CAKE CASES,RECYCLING BAG RETROSPOT,REGENCY CAKESTAND 3 TIER}","{PACK OF 72 RETROSPOT CAKE CASES}",0.005,0.625,0.008,8.4459,20
"{LUNCH BAG SUKI DESIGN,LUNCH BAG WOODLAND,PACK OF 72 RETROSPOT CAKE CASES} => {LUNCH BAG RED RETROSPOT}","{LUNCH BAG SUKI DESIGN,LUNCH BAG WOODLAND,PACK OF 72 RETROSPOT CAKE CASES}","{LUNCH BAG RED RETROSPOT}",0.0053,0.7241,0.0073,8.4448,21
"{6 RIBBONS RUSTIC CHARM,STRAWBERRY CERAMIC TRINKET BOX} => {WOODLAND CHARLOTTE BAG}","{6 RIBBONS RUSTIC CHARM,STRAWBERRY CERAMIC TRINKET BOX}","{WOODLAND CHARLOTTE BAG}",0.009,0.6207,0.0145,8.4448,36
"{72 SWEETHEART FAIRY CAKE CASES,HANGING HEART ZINC T-LIGHT HOLDER,PACK OF 60 PINK PAISLEY CAKE CASES} => {60 TEATIME FAIRY CAKE CASES}","{72 SWEETHEART FAIRY CAKE CASES,HANGING HEART ZINC T-LIGHT HOLDER,PACK OF 60 PINK PAISLEY CAKE CASES}","{60 TEATIME FAIRY CAKE CASES}",0.0055,0.88,0.0062,8.4412,22
"{6 RIBBONS RUSTIC CHARM,RED TOADSTOOL LED NIGHT LIGHT} => {ROSES REGENCY TEACUP AND SAUCER}","{6 RIBBONS RUSTIC CHARM,RED TOADSTOOL LED NIGHT LIGHT}","{ROSES REGENCY TEACUP AND SAUCER}",0.0073,0.5273,0.0138,8.4364,29
"{72 SWEETHEART FAIRY CAKE CASES,LUNCH BAG BLACK SKULL.} => {PACK OF 72 SKULL CAKE CASES}","{72 SWEETHEART FAIRY CAKE CASES,LUNCH BAG BLACK SKULL.}","{PACK OF 72 SKULL CAKE CASES}",0.008,0.5333,0.015,8.4321,32
"{HANGING HEART ZINC T-LIGHT HOLDER,ROSES REGENCY TEACUP AND SAUCER} => {6 RIBBONS RUSTIC CHARM}","{HANGING HEART ZINC T-LIGHT HOLDER,ROSES REGENCY TEACUP AND SAUCER}","{6 RIBBONS RUSTIC CHARM}",0.0055,0.6111,0.009,8.4291,22
"{HANGING HEART ZINC T-LIGHT HOLDER,RECYCLING BAG RETROSPOT,WHITE HANGING HEART T-LIGHT HOLDER} => {6 RIBBONS RUSTIC CHARM}","{HANGING HEART ZINC T-LIGHT HOLDER,RECYCLING BAG RETROSPOT,WHITE HANGING HEART T-LIGHT HOLDER}","{6 RIBBONS RUSTIC CHARM}",0.0055,0.6111,0.009,8.4291,22
"{6 RIBBONS RUSTIC CHARM,LUNCH BAG RED RETROSPOT} => {RECIPE BOX PANTRY YELLOW DESIGN}","{6 RIBBONS RUSTIC CHARM,LUNCH BAG RED RETROSPOT}","{RECIPE BOX PANTRY YELLOW DESIGN}",0.0058,0.6216,0.0092,8.4288,23
"{LUNCH BAG BLACK SKULL.,PACK OF 72 RETROSPOT CAKE CASES} => {CHARLOTTE BAG SUKI DESIGN}","{LUNCH BAG BLACK SKULL.,PACK OF 72 RETROSPOT CAKE CASES}","{CHARLOTTE BAG SUKI DESIGN}",0.0092,0.5139,0.018,8.4244,37
"{HANGING HEART ZINC T-LIGHT HOLDER,RED TOADSTOOL LED NIGHT LIGHT} => {ROSES REGENCY TEACUP AND SAUCER}","{HANGING HEART ZINC T-LIGHT HOLDER,RED TOADSTOOL LED NIGHT LIGHT}","{ROSES REGENCY TEACUP AND SAUCER}",0.005,0.5263,0.0095,8.4211,20
"{RECYCLING BAG RETROSPOT,VICTORIAN GLASS HANGING T-LIGHT} => {ROSES REGENCY TEACUP AND SAUCER}","{RECYCLING BAG RETROSPOT,VICTORIAN GLASS HANGING T-LIGHT}","{ROSES REGENCY TEACUP AND SAUCER}",0.005,0.5263,0.0095,8.4211,20
"{JUMBO BAG WOODLAND ANIMALS,SWEETHEART CERAMIC TRINKET BOX} => {VINTAGE SNAP CARDS}","{JUMBO BAG WOODLAND ANIMALS,SWEETHEART CERAMIC TRINKET BOX}","{VINTAGE SNAP CARDS}",0.005,0.625,0.008,8.4175,20
"{6 RIBBONS RUSTIC CHARM,STRAWBERRY CERAMIC TRINKET BOX,WHITE HANGING HEART T-LIGHT HOLDER} => {VINTAGE SNAP CARDS}","{6 RIBBONS RUSTIC CHARM,STRAWBERRY CERAMIC TRINKET BOX,WHITE HANGING HEART T-LIGHT HOLDER}","{VINTAGE SNAP CARDS}",0.005,0.625,0.008,8.4175,20
"{PACK OF 60 PINK PAISLEY CAKE CASES,PAPER CHAIN KIT VINTAGE CHRISTMAS} => {HOT WATER BOTTLE TEA AND SYMPATHY}","{PACK OF 60 PINK PAISLEY CAKE CASES,PAPER CHAIN KIT VINTAGE CHRISTMAS}","{HOT WATER BOTTLE TEA AND SYMPATHY}",0.005,0.6061,0.0082,8.4175,20
"{6 RIBBONS RUSTIC CHARM,WHITE HANGING HEART T-LIGHT HOLDER,WOODLAND CHARLOTTE BAG} => {HOT WATER BOTTLE TEA AND SYMPATHY}","{6 RIBBONS RUSTIC CHARM,WHITE HANGING HEART T-LIGHT HOLDER,WOODLAND CHARLOTTE BAG}","{HOT WATER BOTTLE TEA AND SYMPATHY}",0.005,0.6061,0.0082,8.4175,20
"{PACK OF 60 PINK PAISLEY CAKE CASES,WHITE HANGING HEART T-LIGHT HOLDER,WOODLAND CHARLOTTE BAG} => {HOT WATER BOTTLE TEA AND SYMPATHY}","{PACK OF 60 PINK PAISLEY CAKE CASES,WHITE HANGING HEART T-LIGHT HOLDER,WOODLAND CHARLOTTE BAG}","{HOT WATER BOTTLE TEA AND SYMPATHY}",0.005,0.6061,0.0082,8.4175,20
"{CHARLOTTE BAG SUKI DESIGN,PAPER CHAIN KIT 50'S CHRISTMAS} => {JUMBO BAG WOODLAND ANIMALS}","{CHARLOTTE BAG SUKI DESIGN,PAPER CHAIN KIT 50'S CHRISTMAS}","{JUMBO BAG WOODLAND ANIMALS}",0.0055,0.5366,0.0102,8.417,22
"{6 RIBBONS RUSTIC CHARM,CHARLOTTE BAG SUKI DESIGN} => {PACK OF 72 RETROSPOT CAKE CASES}","{6 RIBBONS RUSTIC CHARM,CHARLOTTE BAG SUKI DESIGN}","{PACK OF 72 RETROSPOT CAKE CASES}",0.007,0.6222,0.0112,8.4084,28
"{SCOTTIE DOG HOT WATER BOTTLE,WOODLAND CHARLOTTE BAG} => {CHARLOTTE BAG SUKI DESIGN}","{SCOTTIE DOG HOT WATER BOTTLE,WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.5128,0.0098,8.4069,20
"{JUMBO STORAGE BAG SUKI,PAPER CHAIN KIT 50'S CHRISTMAS} => {CHARLOTTE BAG SUKI DESIGN}","{JUMBO STORAGE BAG SUKI,PAPER CHAIN KIT 50'S CHRISTMAS}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.5128,0.0098,8.4069,20
"{JUMBO BAG WOODLAND ANIMALS,VINTAGE SNAP CARDS} => {CHARLOTTE BAG SUKI DESIGN}","{JUMBO BAG WOODLAND ANIMALS,VINTAGE SNAP CARDS}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.5128,0.0098,8.4069,20
"{BATHROOM METAL SIGN,PACK OF 72 RETROSPOT CAKE CASES} => {CHARLOTTE BAG SUKI DESIGN}","{BATHROOM METAL SIGN,PACK OF 72 RETROSPOT CAKE CASES}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.5128,0.0098,8.4069,20
"{HEART OF WICKER SMALL,JUMBO BAG WOODLAND ANIMALS} => {CHARLOTTE BAG SUKI DESIGN}","{HEART OF WICKER SMALL,JUMBO BAG WOODLAND ANIMALS}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.5128,0.0098,8.4069,20
"{JUMBO BAG PINK POLKADOT,PACK OF 72 RETROSPOT CAKE CASES} => {CHARLOTTE BAG SUKI DESIGN}","{JUMBO BAG PINK POLKADOT,PACK OF 72 RETROSPOT CAKE CASES}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.5128,0.0098,8.4069,20
"{JUMBO STORAGE BAG SUKI,LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT} => {CHARLOTTE BAG SUKI DESIGN}","{JUMBO STORAGE BAG SUKI,LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT}","{CHARLOTTE BAG SUKI DESIGN}",0.005,0.5128,0.0098,8.4069,20
"{PAPER CHAIN KIT VINTAGE CHRISTMAS,RECIPE BOX PANTRY YELLOW DESIGN} => {PAPER CHAIN KIT 50'S CHRISTMAS}","{PAPER CHAIN KIT VINTAGE CHRISTMAS,RECIPE BOX PANTRY YELLOW DESIGN}","{PAPER CHAIN KIT 50'S CHRISTMAS}",0.006,0.7059,0.0085,8.4034,24
"{CHARLOTTE BAG SUKI DESIGN,LUNCH BAG RED RETROSPOT} => {WOODLAND CHARLOTTE BAG}","{CHARLOTTE BAG SUKI DESIGN,LUNCH BAG RED RETROSPOT}","{WOODLAND CHARLOTTE BAG}",0.0105,0.6176,0.017,8.4034,42
"{PAPER CHAIN KIT 50'S CHRISTMAS,STRAWBERRY CERAMIC TRINKET BOX} => {WOODLAND CHARLOTTE BAG}","{PAPER CHAIN KIT 50'S CHRISTMAS,STRAWBERRY CERAMIC TRINKET BOX}","{WOODLAND CHARLOTTE BAG}",0.0053,0.6176,0.0085,8.4034,21
"{PACK OF 72 RETROSPOT CAKE CASES,REGENCY CAKESTAND 3 TIER,WHITE HANGING HEART T-LIGHT HOLDER} => {WOODLAND CHARLOTTE BAG}","{PACK OF 72 RETROSPOT CAKE CASES,REGENCY CAKESTAND 3 TIER,WHITE HANGING HEART T-LIGHT HOLDER}","{WOODLAND CHARLOTTE BAG}",0.0053,0.6176,0.0085,8.4034,21
"{6 RIBBONS RUSTIC CHARM,STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX} => {RECYCLING BAG RETROSPOT}","{6 RIBBONS RUSTIC CHARM,STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX}","{RECYCLING BAG RETROSPOT}",0.005,0.5714,0.0088,8.4034,20
"{60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG} => {RECYCLING BAG RETROSPOT}","{60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG}","{RECYCLING BAG RETROSPOT}",0.005,0.5714,0.0088,8.4034,20
